county,mean_stars,mean_review_count,mean_is_open,mean_RestaurantsTableService,mean_BikeParking,mean_WiFi,mean_BusinessAcceptsCreditCards,mean_RestaurantsReservations,mean_WheelchairAccessible,mean_Caters,mean_OutdoorSeating,mean_RestaurantsGoodForGroups,mean_BusinessAcceptsBitcoin,max_stars,max_review_count,min_stars,min_review_count,county
DeKalb,3.551050802581499,55.4448121793811,0.7731259308290584,0.08042363064702962,0.3478404765844779,0.23117656792983618,0.8219427436703624,0.08373324507694853,0.17607148767168626,0.15522091676319708,0.16134370345854707,0.26510011583650506,0.0031441337084229686,5.0,3825.0,1.0,5.0,DeKalb
Dekalb,3.7333333333333334,43.8,0.8666666666666667,0.06666666666666667,0.2,0.26666666666666666,0.7333333333333333,0.13333333333333333,0.13333333333333333,0.2,0.2,0.4,0.0,5.0,192.0,1.5,5.0,Dekalb
Delaware,3.525848142164782,32.02261712439418,0.8424878836833603,0.0791599353796446,0.3384491114701131,0.28190630048465265,0.8255250403877221,0.09208400646203554,0.172859450726979,0.1890145395799677,0.1890145395799677,0.28998384491114704,0.0008077544426494346,5.0,473.0,1.0,5.0,Delaware
Denver,4.0,86.33333333333333,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,4.5,238.0,3.5,9.0,Denver
Douglas,3.0,221.0,0.5,0.5,0.5,0.0,1.0,0.5,0.5,0.5,0.0,0.5,0.0,4.0,435.0,2.0,7.0,Douglas
Dukes,5.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,Dukes
Ellsworth,2.0,28.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,28.0,2.0,28.0,Ellsworth
Essex,3.605557068918551,35.326341596295286,0.7886134568237537,0.060473985290111686,0.33424135113048214,0.18959411604467447,0.7640969763007355,0.09316262598746936,0.13729229092890222,0.1280305093979842,0.084173249795696,0.2173794606374285,0.0019068373740125306,5.0,1101.0,1.0,5.0,Essex
Fairfield,3.5365853658536586,25.540650406504064,0.8211382113821138,0.10975609756097561,0.3943089430894309,0.2764227642276423,0.8292682926829268,0.12601626016260162,0.14634146341463414,0.22764227642276422,0.2032520325203252,0.3617886178861789,0.0,5.0,313.0,1.5,5.0,Fairfield
Forsyth,4.25,8.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,4.5,9.0,4.0,8.0,Forsyth
Franklin,3.5343615570244467,38.21026125275417,0.7985520931696569,0.07973979645367747,0.38191165669919214,0.24572447801909558,0.8305529325359353,0.08593012275731822,0.15905990976812506,0.16168292938831183,0.1763718392613577,0.30353583044801175,0.001993494911341937,5.0,1354.0,1.0,5.0,Franklin
Frio,2.5,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,5.0,2.5,5.0,Frio
Fulton,3.5208333333333335,68.07244556113903,0.7462311557788944,0.0849036850921273,0.3466289782244556,0.26444723618090454,0.8065326633165829,0.10688860971524287,0.19838777219430487,0.1500209380234506,0.19126884422110552,0.2693676716917923,0.0043969849246231155,5.0,3861.0,1.0,5.0,Fulton
Grayson,2.5,9.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,9.0,2.5,9.0,Grayson
Gwinnett,3.057377049180328,34.50819672131148,0.9016393442622951,0.03278688524590164,0.08196721311475409,0.04918032786885246,0.819672131147541,0.03278688524590164,0.01639344262295082,0.06557377049180328,0.0,0.11475409836065574,0.0,5.0,505.0,1.0,5.0,Gwinnett
Hampden,4.0,198.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,4.0,198.0,4.0,198.0,Hampden
Harney,4.5,13.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.5,13.0,4.5,13.0,Harney
Harris,4.0,10.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,10.0,4.0,10.0,Harris
Hays,3.7277085330776605,36.87823585810163,0.87248322147651,0.045062320230105465,0.2607861936720997,0.21764141898370087,0.7698945349952061,0.040268456375838924,0.16970278044103548,0.09204218600191755,0.1332694151486098,0.15819750719079578,0.0028763183125599234,5.0,4524.0,1.0,5.0,Hays
Henry,3.1666666666666665,6.333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,3.5,9.0,3.0,5.0,Henry
Hillsborough,3.5,12.25,1.0,0.0,0.25,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,5.0,17.0,1.0,8.0,Hillsborough
